,Age,Min,Gls,Ast,Gls+Ast,Tackle,Press,Blocks,Passes Completed,Passes Attempted,Market value
349,25.0,2090.0,3.0,8.0,11.0,26.0,399.0,23.0,1347.0,1507.0,21
351,30.0,5118.0,8.0,6.0,14.0,96.0,729.0,77.0,3947.0,4213.0,21
352,23.0,2178.0,2.0,3.0,5.0,52.0,522.0,26.0,736.0,978.0,21
355,19.0,2700.0,0.0,1.0,1.0,56.0,435.0,78.0,1144.0,1466.0,20
356,17.0,1452.0,0.0,4.0,4.0,36.0,256.0,21.0,594.0,754.0,20
359,22.0,4197.0,16.0,9.0,25.0,62.0,887.0,69.0,1041.0,1695.0,20
360,20.0,2429.0,12.0,3.0,15.0,14.0,426.0,23.0,467.0,646.0,20
362,21.0,3008.0,4.0,2.0,6.0,99.0,494.0,56.0,1513.0,2006.0,20
363,22.0,4565.0,9.0,7.0,16.0,65.0,1036.0,60.0,1172.0,1458.0,20
364,21.0,386.0,0.0,0.0,0.0,14.0,151.0,18.0,174.0,233.0,20
365,20.0,3820.0,4.0,4.0,8.0,77.0,922.0,83.0,1329.0,1760.0,20
366,21.0,2209.0,6.0,2.0,8.0,43.0,522.0,53.0,817.0,1024.0,20
367,22.0,2255.0,3.0,2.0,5.0,62.0,601.0,47.0,769.0,954.0,20
369,22.0,5129.0,9.0,3.0,12.0,103.0,1099.0,80.0,2556.0,2933.0,20
370,23.0,5219.0,2.0,3.0,5.0,137.0,1550.0,116.0,1107.0,1633.0,20
371,24.0,3001.0,3.0,1.0,4.0,57.0,304.0,50.0,1379.0,1617.0,20
372,24.0,4514.0,1.0,1.0,2.0,78.0,382.0,62.0,3465.0,3757.0,20
373,22.0,3257.0,1.0,6.0,7.0,74.0,523.0,62.0,1831.0,2275.0,20
374,24.0,3967.0,3.0,0.0,3.0,45.0,253.0,63.0,1856.0,2231.0,20
375,22.0,1095.0,1.0,2.0,3.0,14.0,129.0,35.0,573.0,758.0,20
377,25.0,3871.0,11.0,7.0,18.0,110.0,571.0,99.0,1856.0,2427.0,20
378,22.0,4397.0,8.0,7.0,15.0,26.0,544.0,36.0,1009.0,1372.0,20
379,23.0,4351.0,6.0,7.0,13.0,91.0,1298.0,75.0,1761.0,2276.0,20
380,24.0,4678.0,3.0,2.0,5.0,113.0,1007.0,91.0,2290.0,2776.0,20
381,22.0,3328.0,9.0,1.0,10.0,121.0,837.0,74.0,719.0,960.0,20
383,24.0,3063.0,8.0,3.0,11.0,57.0,596.0,28.0,1014.0,1316.0,20
385,25.0,3637.0,0.0,1.0,1.0,57.0,326.0,55.0,2154.0,2472.0,20
388,24.0,3569.0,5.0,6.0,11.0,88.0,1084.0,70.0,1785.0,2163.0,20
389,23.0,4802.0,0.0,6.0,6.0,139.0,934.0,104.0,2870.0,3317.0,20
390,25.0,2580.0,3.0,2.0,5.0,50.0,454.0,58.0,1499.0,1819.0,20
391,26.0,5966.0,4.0,2.0,6.0,140.0,527.0,162.0,1568.0,2194.0,20
392,25.0,2063.0,0.0,2.0,2.0,55.0,331.0,38.0,2024.0,2216.0,20
393,26.0,5035.0,7.0,3.0,10.0,107.0,1059.0,82.0,2732.0,3346.0,20
394,27.0,4719.0,4.0,8.0,12.0,152.0,1264.0,124.0,3084.0,3504.0,20
395,25.0,4164.0,14.0,10.0,24.0,39.0,1019.0,33.0,1183.0,1618.0,20
396,26.0,5716.0,9.0,8.0,17.0,136.0,1586.0,89.0,2787.0,3420.0,20
399,28.0,3888.0,6.0,6.0,12.0,88.0,711.0,87.0,2560.0,3102.0,20
401,27.0,4934.0,6.0,9.0,15.0,115.0,619.0,114.0,2776.0,3491.0,20
402,28.0,5458.0,13.0,7.0,20.0,75.0,842.0,75.0,3187.0,3822.0,20
403,32.0,3555.0,23.0,15.0,38.0,45.0,988.0,21.0,1122.0,1508.0,20
404,30.0,2608.0,12.0,7.0,19.0,50.0,589.0,47.0,1105.0,1389.0,20
406,32.0,2276.0,22.0,6.0,28.0,15.0,407.0,27.0,396.0,504.0,20
407,29.0,4199.0,2.0,4.0,6.0,91.0,805.0,71.0,2132.0,2472.0,20
408,32.0,4964.0,6.0,0.0,6.0,45.0,301.0,83.0,2939.0,3371.0,20
411,32.0,5891.0,5.0,2.0,7.0,77.0,491.0,121.0,4405.0,4774.0,20
414,21.0,4003.0,17.0,9.0,26.0,58.0,593.0,48.0,924.0,1232.0,19
417,24.0,4766.0,18.0,9.0,27.0,74.0,1223.0,77.0,1607.0,2229.0,19
418,28.0,4925.0,3.0,8.0,11.0,139.0,1263.0,93.0,3300.0,3777.0,19
419,25.0,3904.0,3.0,5.0,8.0,102.0,864.0,77.0,1956.0,2356.0,19
421,28.0,3350.0,0.0,1.0,1.0,75.0,553.0,44.0,1634.0,1858.0,19
422,22.0,1591.0,0.0,0.0,0.0,45.0,359.0,19.0,1088.0,1225.0,18
424,23.0,2474.0,2.0,0.0,2.0,53.0,335.0,38.0,1880.0,2024.0,18
425,27.0,3273.0,5.0,3.0,8.0,84.0,733.0,66.0,1363.0,1713.0,18
426,19.0,484.0,3.0,2.0,5.0,11.0,98.0,11.0,193.0,235.0,18
427,27.0,5069.0,24.0,6.0,30.0,37.0,739.0,68.0,1133.0,1519.0,18
428,15.0,143.0,0.0,0.0,0.0,2.0,29.0,2.0,44.0,66.0,18
430,19.0,4389.0,5.0,11.0,16.0,74.0,1154.0,96.0,1107.0,1645.0,18
432,20.0,2775.0,3.0,5.0,8.0,85.0,503.0,63.0,1285.0,1605.0,18
434,21.0,3569.0,3.0,2.0,5.0,73.0,826.0,81.0,1472.0,1799.0,18
441,21.0,5079.0,2.0,7.0,9.0,126.0,1488.0,109.0,1570.0,2207.0,18
442,21.0,809.0,2.0,0.0,2.0,8.0,219.0,7.0,683.0,743.0,18
446,22.0,3536.0,17.0,3.0,20.0,20.0,601.0,29.0,460.0,678.0,17
447,21.0,2844.0,7.0,8.0,15.0,29.0,462.0,31.0,735.0,975.0,17
449,21.0,2023.0,2.0,1.0,3.0,63.0,727.0,49.0,739.0,938.0,17
451,21.0,3981.0,9.0,7.0,16.0,44.0,723.0,49.0,823.0,1199.0,17
454,22.0,1534.0,7.0,0.0,7.0,22.0,385.0,34.0,435.0,576.0,17
455,22.0,2303.0,9.0,2.0,11.0,24.0,635.0,27.0,476.0,604.0,17
457,26.0,3132.0,1.0,1.0,2.0,114.0,1037.0,96.0,2081.0,2441.0,17
458,24.0,4070.0,1.0,4.0,5.0,77.0,706.0,105.0,2670.0,3160.0,17
461,25.0,989.0,6.0,1.0,7.0,4.0,242.0,13.0,172.0,238.0,17
463,28.0,5067.0,1.0,1.0,2.0,45.0,235.0,99.0,2513.0,2829.0,17
464,25.0,5233.0,8.0,18.0,26.0,23.0,788.0,69.0,1667.0,2455.0,17
465,26.0,2555.0,4.0,2.0,6.0,32.0,858.0,31.0,1002.0,1179.0,17
466,27.0,3916.0,25.0,5.0,30.0,67.0,1178.0,77.0,625.0,964.0,17
467,25.0,3599.0,8.0,11.0,19.0,41.0,564.0,28.0,1554.0,2077.0,17
469,28.0,5272.0,4.0,1.0,5.0,146.0,713.0,118.0,3291.0,3753.0,17
473,28.0,2788.0,4.0,7.0,11.0,56.0,561.0,55.0,1695.0,2017.0,17
475,30.0,3173.0,6.0,4.0,10.0,22.0,613.0,18.0,1782.0,2070.0,17
476,23.0,4606.0,2.0,0.0,2.0,64.0,468.0,72.0,1992.0,2378.0,17
477,21.0,1719.0,1.0,2.0,3.0,56.0,460.0,32.0,530.0,678.0,17
478,25.0,5693.0,6.0,14.0,20.0,110.0,1102.0,83.0,2257.0,3010.0,17
481,22.0,2754.0,2.0,2.0,4.0,58.0,326.0,81.0,1294.0,1496.0,16
484,22.0,2521.0,2.0,1.0,3.0,33.0,221.0,53.0,1465.0,1713.0,16
485,23.0,4183.0,4.0,8.0,12.0,81.0,1327.0,92.0,1468.0,1901.0,16
487,25.0,3703.0,15.0,2.0,17.0,33.0,760.0,58.0,458.0,631.0,16
488,22.0,3490.0,2.0,2.0,4.0,127.0,1029.0,75.0,1672.0,1940.0,16
489,20.0,4448.0,2.0,1.0,3.0,72.0,479.0,84.0,2975.0,3329.0,16
